,IATA,ICAO,Airline,Call sign,Country/Region,Comments
1614,8H,BGH,BH Air,BALKAN HOLIDAYS,Bulgaria,
1615,,BGI,British Gulf International,BRITISH GULF,São Tomé and Príncipe,
1616,,BGK,British Gulf International-Fez,GULF INTER,Kyrgyzstan,
1617,A8,BGL,Benin Golf Air,BENIN GOLF,Benin,
1618,,BGM,Bugulma Air Enterprise,BUGAVIA,Russia,
1619,,BGR,Budget Air Bangladesh,BUDGET AIR,Bangladesh,
1620,,BGT,Bergen Air Transport,BERGEN AIR,Norway,
1621,U4,BHA,Buddha Air,BUDDHA AIR,Nepal,
1622,UH,BHL,Bristow Helicopters,BRISTOW,United Kingdom,
1623,,BHN,Bristow Helicopters Nigeria,BRISTOW HELICOPTERS,Nigeria,
1624,,BHO,Bhoja Airlines,BHOJA,Pakistan,
1625,4T,BHP,Belair Airlines,BELAIR,Switzerland,
1626,,BHR,Bighorn Airways,BIGHORN AIR,United States,
1627,,BHT,Bright Air,BRIGHTAIR,Netherlands,ICAO code and call sign no longer allocated
1628,E6,,Bringer Air Cargo Taxi Aéreo,,Brazil,
1629,,BHY,Bosphorus European Airways,BOSPHORUS,Turkey,
1630,,BID,Binair,BINAIR,Germany,
1631,,BIG,Big Island Air,BIG ISLE,United States,
1632,BS,BIH,British International Helicopters,BRINTEL,United Kingdom,
1633,,BIL,Billund Air Center,BILAIR,Denmark,
1634,,BIN,Boise Interagency Fire Center,BISON-AIR,United States,
1635,,BIO,Bioflight A/S,BIOFLIGHT,Denmark,
1636,,BIR,Bird Leasing,BIRD AIR,United States,
1637,,BIZ,Bizjet Ltd,BIZZ,United Kingdom,
1638,,BJS,Business Jet Solutions,SOLUTION,United States,
1639,B4,BKA,Bankair,BANKAIR,United States,
1640,,BKF,BF-Lento OY,BAKERFLIGHT,Finland,
1641,,BKK,Blink,BLINKAIR,United Kingdom,
1642,,BKJ,Barken International,BARKEN JET,United States,
1643,PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand,
1644,,BKV,Bukovyna,BUKOVYNA,Ukraine,
1645,,BLB,Blue Bird Aviation,BLUEBIRD SUDAN,Sudan,
1646,,BLC,Bellesavia,BELLESAVIA,Belarus,
1647,,BLE,Blue Line,BLUE BERRY,France,
1648,KF,BLF,Blue1,BLUEFIN,Finland,
1649,,BLG,Belgavia,BELGAVIA,Belgium,
1650,,BLH,Blue Horizon Travel Club,BLUE HORIZON,United States,
1651,,BLJ,Blue Jet,BLUEWAY,Spain,
1652,,BLM,Blue Sky Airlines,BLUE ARMENIA,Armenia,
1653,JV,BLS,Bearskin Lake Air Service,BEARSKIN,Canada,
1654,B3,BLV,Bellview Airlines,BELLVIEW AIRLINES,Nigeria,
1655,BD,BMA,BMI,MIDLAND,United Kingdom,Ceased operations
1656,BM,BMR,BMI Regional,MIDLAND,United Kingdom,
1657,,BMD,British Medical Charter,BRITISH MEDICAL,United Kingdom,
1658,,BME,Briggs Marine Environmental Services,BRIGGS,United Kingdom,
1659,,BMH,Bristow Masayu Helicopters,MASAYU,Indonesia,
1660,WW,BMI,Bmibaby,BABY,United Kingdom,Ceased operations
1661,CH,BMJ,Bemidji Airlines,BEMIDJI,United States,
1662,5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh,IATA code in use by another company
1663,,BMN,Bowman Aviation,BOWMAN,United States,
1664,,BMW,BMW,BMW-FLIGHT,Germany,
1665,,BMX,Banco de Mexico,BANXICO,Mexico,
1666,,BND,Bond Offshore Helicopters,BOND,United Kingdom,
1667,,BNE,Benina Air,BENINA AIR,Libya,
1668,BN,BNF,Braniff International Airways,Braniff,United States,defunct
1669,,BNG,BN Group Limited,VECTIS,United Kingdom,
1670,,BNJ,Air Service Liège (ASL),JET BELGIUM,Belgium,
1671,,BNL,Blue Nile Ethiopia Trading,NILE TRADING,Ethiopia,
1672,,BNR,Bonair Aviation,BONAIR,Canada,
1673,,BNS,Bancstar - Valley National Corporation,BANCSTAR,United States,
1674,,BNT,Bentiu Air Transport,BENTIU AIR,Sudan,
1675,,BNV,Benane Aviation Corporation,BENANE,Mauritania,
1676,,BNW,British North West Airlines,BRITISH NORTH,United Kingdom,
1677,,BOD,Bond Air Services,UGABOND,Uganda,
1678,,BOA,Boniair,KUMANOVO,North Macedonia,
1679,AB,BNZ,Bonza,BONZA,Australia,
1680,,BOE,Boeing,BOEING,United States,
1681,,BOF,Bordaire,BORDAIR,Canada,
1682,,BOO,Bookajet Limited,BOOKAJET,United Kingdom,
1683,BO,BOU,Bouraq Indonesia Airlines,BOURAQ,Indonesia,
1684,BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy,
1685,,BPK,Berkhut ZK,VENERA,Kazakhstan,
1686,,BPO,Bundespolizei-Fliegertruppe,PIROL,Germany,
1687,,BPS,Budapest Aircraft Services/Manx2,BASE,Hungary,
1688,,BPT,Bonus Aviation,BONUS,United Kingdom,
1689,,BPX,British Petroleum Exploration,,Colombia,
1690,7R,BRB,BRA-Transportes Aéreos,BRA-TRANSPAEREOS,Brazil,
1691,,BRD,Brock Air Services,BROCK AIR,Canada,
1692,,BRE,Breeze Ltd,AVIABREEZE,Ukraine,
1693,8E,BRG,Bering Air,BERING AIR,United States,
1694,,BRK,Briansk State Air Enterprise,BRIANSK-AVIA,Russia,
1695,,BRN,Branson Airlines,BRANSON,United States,
1696,,BRO,BASE Regional Airlines,COASTRIDER,Netherlands,"ICAO code in use by another company, call sign no longer allocated"
1697,,BRS,Brazilian Air Force,BRAZILIAN AIR FORCE,Brazil,
1698,TH,BRT,British Regional Airlines,BRITISH,United Kingdom,defunct
1699,B2,BRU,Belavia Belarusian Airlines,BELARUS AVIA,Belarus,
1700,,BRV,Bravo Air Congo,BRAVO,Democratic Republic of the Congo,defunct
1701,,BRW,Bright Aviation Services,BRIGHT SERVICES,Bulgaria,
1702,,BRX,Buffalo Express Airlines,BUFF EXPRESS,United States,
1703,,BRY,Burundayavia,BURAIR,Kazakhstan,
1704,,BSC,Bistair - Fez,BIG SHOT,Kyrgyzstan,
1705,,BSD,Blue Star Airlines,AIRLINES STAR,Mexico,
1706,,BSI,Brasair Transportes Aéreos,BRASAIR,Brazil,
1707,,BSJ,Blue Swan Aviation,BLUE SWAN,United Kingdom,ICAO Code and callsign (BSJ/BLUE SWAN) withdrawn
1708,,BSM,Blue Sky Aviation,,Lebanon,
1709,,BSS,Bissau Aero Transporte,BISSAU AIRSYSTEM,Guinea-Bissau,
1710,,BST,Best Air,TUNCA,Turkey,
1711,,BSW,Blue Sky Airways,SKY BLUE,Czech Republic,
1712,GQ,BSY,Big Sky Airlines,BIG SKY,United States,
1713,,BTI,Air Baltic,Air Baltic,Latvia,
1714,ID,BTK,Batik Air,BATIK,Indonesia,
1715,4B,BTQ,Boutique Air,BOUTIQUE,United States,
1716,,BTR,Botir-Avia,BOTIR-AVIA,Kyrgyzstan,
1717,,BTT,BT-Slavuta,BEETEE-SLAVUTA,Ukraine,
1718,Y6,BTV,Batavia Air,BATAVIA,Indonesia,"As of June 1, 2010, IATA code changed to Y6."
1719,L9,BTZ,Bristow U.S. LLC,BRISTOW,United States,
1720,1T,BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Bulgaria,
1721,,BUL,Blue Airlines,BLUE AIRLINES,Democratic Republic of the Congo,
1722,BU,BUN,Buryat Airlines Aircompany,BURAL,Russia,
1723,,BUZ,Buzz Stansted,BUZZ,United Kingdom,
1724,,BVA,Buffalo Airways,BUFFALO AIR,United States,
1725,,BVC,Bulgarian Aeronautical Centre,BULGARIAN WINGS,Bulgaria,
1726,,BVN,Baron Aviation Services,SHOW-ME,United States,
1727,J8,BVT,Berjaya Air,BERJAYA,Malaysia,
1728,,BVU,"Bellview Airlines, Sierra Leone",,Sierra Leone,
1729,,BWD,Bluewest Helicopters-Greenland,BLUEWEST,Denmark,
1730,QW,BWG,Blue Wings,BLUE WINGS,Germany,defunct
1731,,BWI,Blue Wing Airlines,BLUE TAIL,Suriname,
1732,,BWL,British World Airlines,BRITWORLD,United Kingdom,
1733,,BXH,Bar XH Air,PALLISER,Canada,
1734,SN,BXI,Brussels Airlines,XENIA,Belgium,
1735,,BYA,Berry Aviation,BERRY,United States,
1736,,BYC,Cambodia Bayon Airlines,Bayon Air,Cambodia,
1737,,BYF,San Carlos Flight Center,BAY FLIGHT,United States,
1738,,BYL,Bylina Joint-Stock Company,BYLINA,Russia,
1739,,BYR,Berytos Airlines,,Lebanon,
1740,,BYE,Bayu Indonesia Air,BAYU,Indonesia,
1741,,BZA,Bizair Fluggesellschaft,BERLIN BEAR,Germany,
1742,DB,BZH,Brit Air,BRITAIR,France,
1743,,BZZ,Butane Buzzard Aviation Corporation,BUZZARD,United Kingdom,
1744,JD,CBJ,Beijing Capital Airlines,CAPITAL JET,China,
1745,,CKM,BKS Air (Rivaflecha),COSMOS,Spain,
1746,,CLF,Bristol Flying Centre,CLIFTON,United Kingdom,
1747,,CLN,Barnes Olsen Aeroleasing,SEELINE,United Kingdom,
1748,E9,CXS,Boston-Maine Airways,CLIPPER CONNECTION,United States,Pan Am Clipper Connection Pan Am III
1749,SN,BEL,Brussels Airlines,BEE-LINE,Belgium,
1750,,EBA,Bond Aviation,BOND AVIATION,Italy,
1751,,EXB,Brazilian Army Aviation,BRAZILIAN ARMY,Brazil,
1752,,EXP,Business Express Delivery,EXPRESS AIR,Canada,
1753,,FOS,Bel Limited,,Russia,
1754,,GAA,Business Express,BIZEX,United States,
1755,,HAW,Bangkok Aviation Center,THAI HAWK,Thailand,
1756,,HAX,Benair,SCOOP,Norway,
1757,NT,IBB,Binter Canarias,BINTER,Spain,
1758,,IRJ,Bonyad Airlines,BONYAD AIR,Iran,
1759,,IVR,Burundaiavia,RERUN,Kazakhstan,
1760,0B,BLA,Blue Air,BLUE AIR,Romania,
1761,KJ,LAJ,British Mediterranean Airways,BEE MED,United Kingdom,defunct
1762,,LBY,Belle Air,ALBAN-BELLE,Albania,
1763,,LED,Blom Geomatics,SWEEPER,Norway,
1764,,LTL,Benin Littoral Airways,LITTORAL,Benin,
1765,,LXJ,Bombardier Business Jet Solutions,FLEXJET,United States,
1766,FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria,
1767,,MBR,Brazilian Navy Aviation,BRAZILIAN NAVY,Brazil,
1768,8N,NKF,Barents AirLink,NORDFLIGHT,Sweden,previously Nordkalottflyg
1769,,NYB,Belgian Navy,BELGIAN NAVY,Belgium,
1770,,OTA,Business Aviators,OUTLAW,United States,2014[11]
1771,,OUF,Beijing Eofa International Jet,,China,2014[11]
1772,,PEB,Benders Air,PALEMA,Sweden,
1773,,POI,BGB Air,BOJBAN,Kazakhstan,
1774,,PPS,Butte Aviation,PIPESTONE,United States,
1775,,PVO,Bearing Supplies Limited,PROVOST,United Kingdom,
1776,,RHD,Bond Air Services,RED HEAD,United Kingdom,
1777,,RLR,Business Airfreight,RATTLER,United States,
1778,,RRS,Boscombe Down DERA (Formation),BLACKBOX,United Kingdom,
1779,,SCJ,Business Jet Sweden,SCANJET,Sweden,
1780,,SHT,British Airways Shuttle,SHUTTLE,United Kingdom,BA domestic services
1781,,SKH,British Sky Broadcasting,SKYNEWS,United Kingdom,
1782,,TBL,Bell Aliant Regional Communications,TELCO,Canada,
1783,,TXB,Bell Helicopter Textron,TEXTRON,Canada,
1784,,UKA,Buzzaway Limited,UKAY,United Kingdom,
1785,,VLX,Biz Jet Charter,AVOLAR,United States,
1786,,VOL,Blue Chip Jet,BLUE SPEED,Sweden,
1787,,WFD,BAE Systems,AVRO,United Kingdom,Woodford Flight Test
1788,,WTN,BAE Systems,TARNISH,United Kingdom,Warton Military Flight Ops
1789,,XBO,Baseops International,,United States,
1790,,XDA,Bureau Veritas,,France,
1791,,XMS,British Airways Santa,SANTA,United Kingdom,Christmas charter flights
1792,,ZBA,Boskovic Air Charters Limited,BOSKY,Kenya,
1793,,JMP,Businesswings,JUMP RUN,Germany,
1794,OB,BOV,Boliviana de Aviación,BOLIVIANA,Bolivia,
1795,YB,BRJ,Borajet,BORA JET,Turkey,
1796,MX,MXY,Breeze_Airways,MOXY,United States,2018 New Start up Regional Airline. Will start flying May 2021
1797,,SRJ,C Air Jet Airlines,SYRJET,Syria,
1798,,TIP,C and M Aviation,TRANSPAC,United States,
1799,,ORO,C N Air,CAPRI,Spain,
1800,,RWG,C&M Airways,RED WING,United States,
1801,,RMU,"C.S.P., Societe",AIR-MAUR,Mauritania,
1802,,CJZ,Caliber Jet,CALIBER JET,United States,
1803,4A,DYN,California Pacific Airlines,AERODYNAMICS,United States,defunct
1804,QC,CRC,Camair-Co,CAMAIRCO,Cameroon,
1805,,QAI,Conquest Air,CHICKPEA,United States,2014[13]
1806,,CBH,Corporate Eagle Management Services,CLUB HOUSE,United States,Allocated in 2014[14]
1807,,CRF,Croix Rouge Francais,CROIX ROUGE,France,2014[13]
1808,,CAA,Civil Aviation Authority of the Czech Republic,INSPECTOR,Czech Republic,
1809,,BKR,Civil Air Patrol South Carolina Wing,BOX KAR,United States,
1810,,BFN,Compagnie Nationale Naganagani,,Burkino Faso,
1811,,AWX,Civil Aviation Authority Directorate of Airspace Policy,ALLWEATHER,United Kingdom,
1812,,BBN,Civil Aviation Authority Airworthiness Division,BRABAZON,United Kingdom,
1813,,ATQ,CHC Helicopters Nigeria,COLIBRI,Nigeria,
1814,,APL,Corporativo Aereo Principal,AEREO PRINCIPAL,Mexico,
1815,,AIO,"Chief of Staff, United States Air Force",AIR CHIEF,United States,
1816,,AID,Christian Konig - Century Airbirds,CENTURY AIRBIRD,Austria,
1817,,,Cambridge Recurrent Training,CAMBRIDGE,United Kingdom,
1818,,,California Department of Forestry and Fire Protection,CALFIRE,United States,
1819,,,Careflight Queensland,SAMARITAN,Australia,
1820,7N,PWD,Pawa Dominicana,Pawa Dominicana,Dominican Republic,
1821,,,Castle Air Charter,CASTLEFILM,United Kingdom,
1822,,,Challenges Aviation,TIGER,United Kingdom,
1823,,,Challenges Limited,HERITAGE,United Kingdom,
1824,,,Cheqair,ASTON,United Kingdom,
1825,,,Clacton Aero Club,CLASSIC WINGS,United Kingdom,
1826,,,Coral Sun Airways,CORAL SUN,Kirbati,
1827,,,Cowan Group,COWAN,United States,
1828,,SMW,Carpatair Flight Service,SMART WINGS,Romania,Was Carpatair Flight Training
1829,,CCL,Cambodia Airlines,ANGKOR WAT,Cambodia,
1830,KR,KME,Cambodia Airways,GIANT IBIS,Cambodia,
1831,,CCB,Caricom Airways,DOLPHIN,Barbados,
1832,,CYH,China Southern Airlines Henan,YUHAO,China,
1833,,CFB,Chongqing Forebase General Aviation,FOREBASE,China,
1834,,XCA,Colt Transportes Aereos,COLT,Brazil,
1835,,GCY,CHC Global Operations International,HELIBIRD,United Kingdom,
1836,,AUN,Common Sky,COMMON SKY,Austria,
1837,,CBI,Cabi,CABI,Ukraine,
1838,,CPI,Compagnia Aeronautica Italiana,AIRCAI,Italy,
1839,5C,ICL,CAL Cargo Air Lines,CAL,Israel,
1840,,CMR,CAM Air Management,CAMEO,United Kingdom,
1841,,CTZ,CATA Línea Aérea,CATA,Argentina,
1842,,CCF,CCF Manager Airline,TOMCAT,Germany,
1843,,CED,CEDTA (Compañía Ecuatoriana De Transportes Aéreos),CEDTA,Ecuador,
1844,,HBI,CHC Denmark,HELIBIRD,Denmark,
1845,,HEM,CHC Helicopter,HEMS,Australia,
1846,AW,SCH,CHC Airways,SCHREINER,Netherlands,"formerly Schreiner Airways. ICAO code in use by another company, call sign no longer allocated"
1847,,HKS,CHC Helikopter Service,HELIBUS,Norway,
1848,,VCI,CI-Tours,CI-TOURS,Ivory Coast,
1849,,CKC,CKC Services,,United States,
1850,,CMZ,CM Stair,CEE-EM STAIRS,Mauritania,
1851,,CNT,Centre national d'études des télécommunications - C.N.E.T.,KNET,France,
1852,,OAP,COAPA AIR,COAPA,Mexico,
1853,,PDR,COMAV,SPEEDSTER,Namibia,
1854,,CRH,CRI Helicopters Mexico,HELI-MEX,Mexico,
1855,,IRO,CSA Air,IRON AIR,United States,
1856,,CSE,CSE Aviation,OXFORD,United Kingdom,
1857,,CTQ,CTK Network Aviation,CITYLINK,Ghana,
1858,,CBR,Cabair College of Air Training,CABAIR,United Kingdom,
1859,,CVE,Cabo Verde Express,KABEX,Cape Verde,
1860,,CWD,Caernarfon Airworld,AMBASSADOR,United Kingdom,
1861,,CXE,Caicos Express Airways,CAICOS,Turks and Caicos Islands,
1862,,CCE,Cairo Air Transport Company,,Egypt,
1863,,CGC,Cal Gulf Aviation,CAL-GULF,São Tomé and Príncipe,
1864,,REZ,Cal-West Aviation,CAL AIR,United States,
1865,,CSL,California Air Shuttle,CALIFORNIA SHUTTLE,United States,
1866,3C,CMV,Calima Aviación,CALIMA,Spain,
1867,MO,CAV,Calm Air,CALM AIR,Canada,
1868,R9,CAM,Camai Air,AIR CAMAI,United States,Village Aviation
1869,K6,KHV,Cambodia Angkor Air,ANGKOR AIR,Cambodia,
1870,UY,UYC,Cameroon Airlines,CAM-AIR,Cameroon,defunct
1871,,HSO,Campania Helicopteros De Transporte,HELIASTURIAS,Spain,
1872,C6,CJA,CanJet,CANJET,Canada,
1873,,PIL,Canada Jet Charters,PINNACLE,Canada,
1874,CP,CDN,Canadian Airlines,CANADIAN,Canada,defunct
1875,,CTG,Canadian Coast Guard,CANADIAN COAST GUARD,Canada,
1876,,HIA,Canadian Eagle Aviation,HAIDA,Canada,
1877,,CFC,Canadian Forces,CANFORCE,Canada,
1878,,BZD,Canadian Global Air Ambulance,BLIZZARD,Canada,ICAO Code and callsign no longer allocated
1879,,CDN,Canadian Helicopters,CANADIAN,Canada,
1880,,TKR,Canadian Interagency Forest Fire Centre,TANKER,Canada,ICAO Code and callsign no longer allocated
1881,,XNC,Canadian National Telecommunications,,Canada,ICAO Code and callsign no longer allocated
1882,7F,AKT,Canadian North,ARCTIC,Canada,Air Norterra
1883,CP,CPC,Canadian Pacific Airlines,EMPRESS,Canada,ICAO Code and callsign no longer allocated
1884,,CDR,Canadian Regional Airlines,CANADIAN REGIONAL,Canada,ICAO Code and callsign no longer allocated
1885,,CWH,Canadian Warplane Heritage Museum,WARPLANE HERITAGE,Canada,
1886,W2,CWA,Canadian Western Airlines,CANADIAN WESTERN,Canada,
1887,,CWW,Canair,CANAIR,China,
1888,,CUI,Cancun Air,CAN-AIR,Mexico,
1889,9K,KAP,Cape Air,CAIR,United States,
1890,,CTO,Cape Air Transport,,Australia,
1891,,SEM,Cape Central Airways,SEMO,United States,
1892,,CMY,Cape Smythe Air,CAPE SMYTHE AIR,United States,
1893,,CPX,Capital Air Service,CAPAIR,United States,
1894,,CPD,Capital Airlines,CAPITAL DELTA,Kenya,
1895,,NCP,Capital Airlines Limited,CAPITAL SHUTTLE,Nigeria,
1896,PT,CCI,Capital Cargo International Airlines,CAPPY,United States,Allocation deleted 2013
1897,,CCQ,Capital City Air Carriers,CAP CITY,United States,
1898,,EGL,Capital Trading Aviation,PRESTIGE,United Kingdom,
1899,,CEX,Capitol Air Express,CAPITOL EXPRESS,United States,
1900,,CWZ,Capitol Wings Airline,CAPWINGS,United States,
1901,,VAN,Caravan Air,CAMEL,Mauritania,
1902,,CWN,Cardiff Wales Flying Club,CAMBRIAN,United Kingdom,
1903,,FVA,Cardinal/Air Virginia,AIR VIRGINIA,United States,
1904,,GOL,Cardolaar,CARGOLAAR,Namibia,
1905,,CDI,Cards Air Services,CARDS,Philippines,
1906,,CFH,CareFlight,CARE FLIGHT,Australia,
1907,,CDM,Carga Aérea Dominicana,CARGA AEREA,Dominican Republic,
1908,,EST,Carga Express Internacional,CARGAINTER,Mexico,
1909,GG,GGC,Cargo 360,LONG-HAUL,United States,
1910,,MCX,Cargo Express,MAURICARGO,Mauritania,
1911,,CRV,Cargo Ivoire,CARGOIV,Ivory Coast,
1912,,CLM,Cargo Link (Caribbean),CARGO LINK,Barbados,
1913,P3,CLU,Cargo Logic Air,FIREBIRD,United Kingdom,
1914,,CTW,Cargo Three,THIRD CARGO,Panama,
1915,2G,CRG,Cargoitalia,WHITE PELICAN,Italy,
1916,W8,CJT,Cargojet Airways,CARGOJET,Canada,
1917,CV,CLX,Cargolux,CARGOLUX,Luxembourg,
1918,C8,ICV,Cargolux Italia,CARGO MED,Italy,
1919,,CGM,Cargoman,HOTEL CHARLIE,Oman,
1920,,DEL,Carib Aviation,RED TAIL,Antigua and Barbuda,
1921,,BCB,Carib Express,WAVEBIRD,Barbados,
1922,,PWD,CARIBAIR,CARIBAIR,Dominican Republic,
1923,,DCC,Caribbean Air Cargo,CARICARGO,Barbados,
1924,,CLT,Caribbean Air Transport,CARIBBEAN,Netherlands,ICAO Code and callsign no longer allocated
1925,,CLT,Club Aerocelta de Vuelo Con Motor,,Spain,
1926,BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago,
1927,,IQQ,Caribbean Airways,CARIBJET,Barbados,
1928,,CSX,Choice Airways,CHOICE AIR,United States,
1929,,TLC,Caribbean Express,CARIB-X,United States,
1930,8B,GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda,
1931,,CRB,Caricom Airways,CARIBBEAN COMMUTER,Suriname,
1932,,CRT,Caribintair,CARIBINTAIR,Haiti,
1933,,CVG,Carill Aviation,CARILL,United Kingdom,
1934,V3,KRP,Carpatair,CARPATAIR,Romania,
1935,,CRR,Carranza,CARRANZA,Chile,defunct
1936,,ULS,Carroll Air Service,ULSTER,United States,
1937,,CMT,Casement Aviation,CASEMENT,United States,
1938,,CSO,Casino Airline,CASAIR,United States,
1939,,CSP,Casper Air Service,CASPER AIR,United States,
1940,RV,CPN,Caspian Airlines,CASPIAN,Iran,
1941,,CSJ,Castle Aviation,CASTLE,United States,
1942,,CAZ,Cat Aviation,EUROCAT,Switzerland,
1943,,CBT,Catalina Flying Boats,CATALINA AIR,United States,
1944,,TEX,Catex,CATEX,France,
1945,KA,HDA,Cathay Dragon,DRAGON,Hong Kong,defunct
1946,CX,CPA,Cathay Pacific,CATHAY,Hong Kong,
1947,,CJR,Caverton Helicopters,CAVERTON AIR,Nigeria,
1948,KX,CAY,Cayman Airways,CAYMAN,Cayman Islands,
1949,5J,CEB,Cebu Pacific,CEBU,Philippines,
1950,,CIL,Cecil Aviation,CECIL,United Kingdom,
1951,,CEG,Cega Aviation,CEGA,United Kingdom,
1952,,CEC,Celtic Airways,CELTAIR,United Kingdom,
1953,,CWE,Celtic West,CELTIC,United Kingdom,
1954,,CEV,Centre d'Essais en Vol,CENTEV,France,
1955,,CNL,Centennial Airlines,WYO-AIR,United States,
1956,,CNS,Cobalt Air LLC,CHRONOS,United States,
1957,,CVO,Center Vol,CENTERVOL,Spain,
1958,,CTS,Center-South,CENTER-SOUTH,Russia,
1959,,CET,Centrafrican Airlines,CENTRAFRICAIN,Central African Republic,
1960,,CAX,Central Air Express,CENTRAL EXPRESS,Democratic Republic of the Congo,
1961,,CTL,Central Airlines,CENTRAL COMMUTER,United States,
1962,,CNY,Central Airways,CENTRAL LEONE,Sierra Leone,
1963,,ACN,Central American Airlines,AEROCENTRO,Nicaragua,
1964,,YOG,Central Aviation,YOGAN AIR,United States,
1965,,DRN,Central De Discos De Reynosa,DISCOS REYNOSA,Mexico,
1966,,CMA,Central European Airlines,EUROCENTRAL,Czech Republic,
1967,,CHA,Central Flying Service,CHARTER CENTRAL,United States,
1968,,CEM,Central Mongolia Airways,CENTRAL MONGOLIA,Mongolia,
1969,9M,GLR,Central Mountain Air,GLACIER,Canada,
1970,,CQC,Central Queensland Aviation College,,Australia,
1971,,CSI,Central Skyport,SKYPORT,United States,
1972,,CLW,Centralwings,CENTRALWINGS,Poland,
1973,,DTV,Centre Airlines,DUTCH VALLEY,United States,
1974,,CGS,Centre of Applied Geodynamica,GEO CENTRE,Russia,
1975,J7,CVC,Centre-Avia,AVIACENTRE,Russia,
1976,,CCV,Centro De Helicopteros Corporativos,HELICORPORATIVO,Mexico,
1977,,ACF,Centro de Formación Aeronáutica de Canarias,FORCAN,Spain,
1978,WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,United States,
1979,,URY,Century Aviation,CENTURY AVIA,Mexico,
1980,,HAI,Century Aviation International,,Canada,
1981,,XAD,Certified Air Dispatch,,United States,
1982,,CER,Cetraca Aviation Service,CETRACA,Democratic Republic of the Congo,
1983,,IRU,Chabahar Airlines,CHABAHAR,Iran,
1984,,CLG,Chalair Aviation,CHALLAIR,France,
1985,OP,CHK,Chalk's International Airlines,CHALKS,United States,
1986,,CLS,Challenge Air Transport,AIRISTO,Germany,
1987,,CHS,Challenge Aviation,CHALLENGE AVIATION,Australia,
1988,,OFF,Challenge International Airlines,CHALLENGE AIR,United States,
1989,,CHG,Challenge Aero,SKY CHALLENGER,Ukraine,
1990,,CPH,Champagne Airlines,CHAMPAGNE,France,
1991,MG,CCP,Champion Air,CHAMPION AIR,United States,
1992,,NCH,Chanchangi Airlines,CHANCHANGI,Nigeria,
1993,2Z,CGN,Chang An Airlines,CHANGAN,China,
1994,,CHN,Channel Island Aviation,CHANNEL,United States,
1995,,WML,Chantilly Air,MARLIN,United States,
1996,,CPL,Chaparral Airlines,CHAPARRAL,United States,
1997,S8,CSU,Chari Aviation Services,CHARI SERVICE,Chad,
1998,,CAH,Charlan Air Charter,CHARLAN,South Africa,ICAO Code and callsign no longer allocated
1999,,HMD,Charlie Hammonds Flying Service,HAMMOND,United States,
2000,,CGD,Charlotte Air National Guard,,United States,
2001,,CHW,Charter Air,CHARTER WIEN,Austria,
2002,,HRT,Chartright Air,CHARTRIGHT,Canada,
2003,RP*,CHQ,Chautauqua Airlines,CHAUTAUQUA,United States,Was US*
2004,,CBB,Cheboksary Airenterprise JSC,CHEBAIR,Russia,
2005,,CHM,Chemech Aviation,,Pakistan,
2006,,CHZ,Cherline,CHERL,Russia,
2007,,CMK,Chernomor-Avia,CHERAVIA,Russia,
2008,,CBM,Cherokee Express,BLUE MAX,United States,
2009,,CCY,Cherry Air,CHERRY,United States,
2010,,CAB,Chesapeake Air Service,CHESAPEAKE AIR,United States,
2011,,CVR,Chevron U.S.A,CHEVRON,United States,
2012,,CYA,Cheyenne Airways,CHEYENNE AIR,United States,
2013,,CGO,Chicago Air,WILD ONION,United States,
2014,C8,WDY,Chicago Jet Group,WINDY CITY,United States,
2015,,RAT,Chief Rat Flight Services,RIVERRAT,South Africa,
2016,,CCH,Chilchota Taxi Aéreo,CHILCHOTA,Mexico,
2017,,DES,Chilcotin Caribou Aviation,CHILCOTIN,Canada,
2018,,CAD,Chilliwack Aviation,CHILLIWACKAIR,Canada,
2019,,ETN,Chim-Nir Aviation,CHIMNIR,Israel,
2020,CI,CAL,China Airlines,DYNASTY,Taiwan,
2021,CK,CKK,China Cargo Airlines,CARGO KING,China,
2022,MU,CES,China Eastern Airlines,CHINA EASTERN,China,
2023,G5,HXA,China Express Airlines,CHINA EXPRESS,China,
2024,,CFA,China Flying Dragon Aviation,FEILONG,China,
2025,,CTH,China General Aviation Corporation,TONGHANG,China,
2026,,CAG,China National Aviation Corporation,CHINA NATIONAL,China,
2027,CJ,CBF,China Northern Airlines,CHINA NORTHERN,China,defunct.
2028,WH,CNW,China Northwest Airlines,CHINA NORTHWEST,China,defunct
2029,,CHC,China Ocean Helicopter Corporation,CHINA HELICOPTER,China,
2030,8Y,CYZ,China Postal Airlines,CHINA POST,China,
2031,CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China,
2032,,CXN,China Southwest Airlines,CHINA SOUTHWEST,China,defunct
2033,KN,CUA,China United Airlines,LIANHANG,China,
2034,XO,CXH,China Xinhua Airlines,XINHUA,China,
2035,3Q,CYH,China Yunnan Airlines,YUNNAN,China,defunct
