,IATA,ICAO,Airline,Call sign,Country/Region,Comments
354,,BDM,Air Bandama,BANDAMA,Ivory Coast,
355,AB,BER,Air Berlin,AIR BERLIN,Germany,defunct
356,,ABT,Air Brousse,AIR BROUSSE,Canada,defunct
357,,APV,Air Plan International,AIR PLAN,Democratic Republic of the Congo,
358,,ARX,"Air Xpress, Inc.",AIREX,United States,
359,,HTT,Air Tchad,HOTEL TANGO,Chad,
360,,ARZ,Air Resorts,AIR RESORTS,United States,
361,,ASB,Air-Spray 1967 Ltd.,AIR SPRAY,Canada,
362,,ASC,Air Star Corporation,AIR STAR,Canada,
363,4D,ASD,Air Sinai,AIR SINAI,Egypt,
364,,AQN,Air Queensland,BUSHAIR,Australia,defunct
365,,ARC,Air Routing International Corp.,,United States,
366,QN,ARR,Air Armenia,AIR ARMENIA,Armenia,
367,,AIL,Air Illinois,AIR ILLINOIS,United States,defunct
368,AI,AIC,Air India Limited,AIRINDIA,India,
369,,AIG,Air Inter Gabon,,Gabon,
370,PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France,
371,SZ,WOW,Air Southwest,SWALLOW,United Kingdom,defunct
372,,ATJ,Air Traffic GmbH,SNOOPY,Germany,
373,8C,ATN,Air Transport International,AIR TRANSPORT,United States,
374,,ATQ,Air Transport Schiphol,MULTI,Netherlands,
375,,ATS,Air Transport Service,,Democratic Republic of the Congo,
376,,AVG,Air Falcon,DJIBOUTI FALCON,Djibouti,
377,,AUX,Air Uganda International Ltd.,,Uganda,
378,NF,AVN,Air Vanuatu,AIR VAN,Vanuatu,
379,ZB,BUB,Air Bourbon,BOURBON,Reunion,defunct
380,CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland,
381,,AIE,Air Inuit,AIR INUIT,Canada,
382,,AIS,Air Sureste,SURESTE,Spain,
383,RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina,defunct
384,TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France,
385,SW,NMB,Air Namibia,NAMIBIA,Namibia,
386,,NSK,Air Intersalonika,INTERSALONIKA,Greece,
387,,NTL,Air Anatolia,AIR ANATOLIA,Turkey,defunct
388,,SGA,Air Saigon,AIR SAIGON,Vietnam,
389,,AFW,Afrique Regional Airways,AFRAIR,Côte d'Ivoire,defunct
390,AW,AFW,Africa World Airlines,BLACKSTAR,Ghana,
391,,ACX,Air Charters,PARAIR,Canada,defunct
392,PE,AEL,Air Europe Italy,AIR EUROPE,Italy,defunct
393,JM,AJM,Air Jamaica,JAMAICA,Jamaica,merged into Caribbean Airlines; ICAO and IATA codes no longer used.
394,,AWN,Air Niamey,AIR NIAMEY,Niger,
395,,AWT,Air West,AIR WEST,Canada,
396,6G,AWW,Air Wales,RED DRAGON,United Kingdom,"defunct, ICAO code no longer allocated"
397,TX,FWI,Air Caraïbes,FRENCH WEST,France,
398,IX,AXB,Air India Express,EXPRESS INDIA,India,
399,,AXD,Air Express,AIR SUDEX,Sudan,
400,,BSB,Air Wings,ARBAS,Moldova,
401,BT,BTI,Air Baltic,AIRBALTIC,Latvia,
402,,ANI,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,
403,EL,ANK,Air Nippon,ANK AIR,Japan,"merged into All Nippon Airways, ICAO code no longer allocated"
404,YW,ANE,Air Nostrum,AIR NOSTRUM,Spain,
405,PX,ANG,Air Niugini,NIUGINI,Papua New Guinea,
406,G9,ABY,Air Arabia,ARABIA,United Arab Emirates,
407,AC,ACA,Air Canada,AIR CANADA,Canada,
408,AP,LAV,AlbaStar,ALBASTAR,Spain,
409,E9,MHS,Air Memphis,AIR MEMPHIS,Egypt,defunct
410,XT,AXL,Air Exel,EXEL COMMUTER,Netherlands,defunct
411,,AZF,Air Zermatt AG,AIR ZERMATT,Switzerland,
412,UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe,
413,,MHU,Air Memphis,MEPHIS UGANDA,Uganda,
414,,MKH,Air Marrakech Service,AIR MARRAKECH,Morocco,
415,,AZX,Air Max Africa,AZIMA,Gabon,defunct
416,S2,RSH,Air Sahara,SAHARA,India,renamed to Jetlite
417,,ATA,Air Transport Association,,United States,
418,TC,ATC,Air Tanzania,TANZANIA,Tanzania,
419,,XAC,Air Charter World,,United States,
420,2J,VBW,Air Burkina,BURKINA,Burkina Faso,
421,,ATH,Air Travel Corp.,AIR TRAVEL,United States,
422,KM,AMC,Air Malta,AIR MALTA,Malta,
423,YT,TGA,Air Togo,AIR TOGO,Togo,defunct
424,,ASJ,Air Satellite,SATELLITE,Canada,defunct
425,,ASN,Air and Sea Transport,,Russia,
426,,ASS,"Air Class, S.A. de C.V.",AIR CLASS,Mexico,
427,,NPL,Air Nepal International,AIR NEPAL,Nepal,defunct
428,,NPR,Air Napier,,New Zealand,
429,,WAM,Air Taxi & Cargo,TAXI CARGO,Sudan,
430,,RSM,Air Somalia,AIR SOMALIA,Somali Republic,
431,,AWZ,AirWest,,Sudan,
432,G4,AAY,Allegiant Air,ALLEGIANT,United States,
433,,AAZ,Angus Aviation,ANGUS,Canada,defunct
434,,ABA,Artem-Avia,ARTEM-AVIA,Ukraine,defunct
435,,ABB,African Business and Transportations,AFRICAN BUSINESS,Democratic Republic of the Congo,
436,,ABF,Aerial Oy,SKYWINGS,Finland,
437,,ABK,Alberta Citylink,ALBERTA CITYLINK,Canada,"defunct, ICAO code no longer allocated"
438,,ABO,APSA Colombia,AEROEXPRESO,Colombia,aka Aeroexpreso Bogota
439,O4,ABV,Antrak Air,ANTRAK,Ghana,
440,GB,ABX,Airborne Express,ABEX,United States,"August 14, 2003 merged into DHL"
441,,ABZ,ATA Brasil,ATA-BRAZIL,Brazil,defunct
442,,ACC,Avcard Services,,United Kingdom,ICAO code no longer allocated
